,Name,min1,index1,min2,index2,min3,index3,min4,index4,min5,index5,min6,index6,max,max_index,maxAi,maxA,maxAw,scan_number,maxA0i,maxA0,maxA0w,maxBi,maxB,maxBw,maxCi,maxC,maxCw,Int_A,Int_C,Int_N_A,Unnamed: 0
9,ASW_2020_09_17_10,-0.04201041,6638,-0.05346914,4338,-0.05149068,4146,-0.02453377,2473,-0.02068679,2281,-0.0006123612,889,0.4845517,5097,5097,0.5342394590999999,3257.232,10,5097.0,0.4845517,3257.232,2978,0.014971903042438724,2235.61,1814,0.024572029878160918,1674.418,154.06603190800345,7.388390686127389,113.99775181942972,
10,ASW_2020_09_17_11,-0.04198685,6638,-0.05341339,4338,-0.05139052,4146,-0.02437731,2473,-0.02054729,2281,-0.0004890148999999999,889,0.4884089,5097,5097,0.5380515318,3257.232,11,5097.0,0.4884089,3257.232,2978,0.015035337364016731,2235.61,1814,0.02444140925883621,1674.418,154.44454744908174,7.414896537928377,114.27782601993505,
11,ASW_2020_09_17_12,-0.04206103,6638,-0.05298582,4322,-0.05146442,4148,-0.02429041,2473,-0.02039634,2281,-0.0007877066,935,0.4973637,5095,5095,0.5467032062392055,3256.268,12,5095.0,0.4973637,3256.268,2978,0.015104121223880591,2235.61,1776,0.02435346045542348,1656.0970000000002,155.07174858632945,7.1406528084976,114.74190962551216,
12,ASW_2020_09_17_13,-0.0422283,6638,-0.05266104,4324,-0.05123048,4147,-0.02409844,2482,-0.02007249,2281,-0.0008900929,935,0.5074951,5095,5095,0.5566800628435609,3256.268,13,5095.0,0.5074951,3256.268,2988,0.015436322876876876,2240.432,1776,0.024086838235141163,1656.0970000000002,156.21795548701334,7.391837340186548,115.59002006348257,
13,ASW_2020_09_17_14,-0.04197163,6638,-0.05248201,4295,-0.05102506,4147,-0.02390412,2482,-0.01983532,2281,-0.0007011408,935,0.5102608000000001,5095,5095,0.5591541185787453,3256.268,14,5095.0,0.5102608000000001,3256.268,2988,0.015455249543543544,2240.432,1776,0.024028458903417538,1656.0970000000002,156.42258666837395,7.4091583280548114,115.74143237895758,
14,ASW_2020_09_17_15,-0.04188345,6638,-0.05175379,4288,-0.05081618,4144,-0.02372008,2473,-0.01977275,2281,0.0007349258,812,0.5061922999999999,5091,5089,0.5545737741106384,3253.375,15,5091.0,0.5061922999999999,3254.3390000000004,2988,0.015599602345900666,2240.432,1795,0.02456232582110279,1665.257,156.14467204759617,7.6459463093210145,115.53579560377723,
15,ASW_2020_09_17_16,-0.04178743,6638,-0.05138312,4242,-0.05058038,4144,-0.02359726,2473,-0.01945303,2281,0.001193823,981,0.5114430999999999,5089,5087,0.5594358972746245,3252.411,16,5089.0,0.5114430999999999,3253.375,2988,0.015975592058647514,2240.432,1835,0.02370095120153846,1684.542,156.64967808932977,6.1523821560729814,115.90946365182104,
16,ASW_2020_09_17_17,-0.04158039,6638,-0.05115446,4261,-0.05035105,4144,-0.02337062,2482,-0.01925486,2281,0.00137783,1029,0.5138659000000001,5087,5087,0.5616934008834666,3252.411,17,5087.0,0.5138659000000001,3252.411,2988,0.015818118471720818,2240.432,1835,0.023293966182108626,1684.542,156.9399593101881,5.738136936973898,116.12425081913756,
17,ASW_2020_09_17_18,-0.04134298,6638,-0.05069895,4230,-0.05000033,4142,-0.02310663,2483,-0.01958662,2281,0.00035534900000000003,983,0.5086446,5091,5091,0.5559982467732558,3254.3390000000004,18,5091.0,0.5086446,3254.3390000000004,2978,0.01551690086799276,2235.61,1814,0.023471912971494608,1674.418,156.48145519934718,6.948399903359928,115.78499084606949,
18,ASW_2020_09_17_19,-0.04093201,6633,-0.05037511,4230,-0.04971102,4142,-0.02270104,2483,-0.01920612,2281,0.00025730290000000003,935,0.5111045999999999,5089,5089,0.5581040866541822,3253.375,19,5089.0,0.5111045999999999,3253.375,2978,0.015519505623869794,2235.61,1754,0.024172587066641903,1645.49,156.74894637412118,7.562134191037862,115.9829150229831,
19,ASW_2020_09_17_20,-0.04086082,6633,-0.050216699999999996,4230,-0.04958018,4144,-0.022563200000000002,2483,-0.01906805,2281,0.0003891005,935,0.5129587999999999,5087,5087,0.5598388420058261,3252.411,20,5087.0,0.5129587999999999,3252.411,2978,0.015528797880794696,2235.61,1754,0.02420694290230312,1645.49,156.9733424836876,7.568792437541331,116.14895195981372,
20,ASW_2020_09_17_21,-0.04072704,6633,-0.04971856,4247,-0.04921545,4147,-0.02259752,2473,-0.01849975,2281,0.0005743369,887,0.5060531,5088,5086,0.5526062310477788,3251.928,21,5088.0,0.5060531,3252.893,2988,0.015667599169653518,2240.432,1795,0.024613837264418938,1665.257,156.5517481077139,7.727591517778615,115.83700252848541,
21,ASW_2020_09_17_22,-0.04023241,6633,-0.04909628,4228,-0.04860713,4140,-0.02226286,2473,-0.01795813,2281,0.00118864,868,0.5072615,5070,5070,0.5532545040997922,3244.2140000000004,22,5070.0,0.5072615,3244.2140000000004,2988,0.015723611679664063,2240.432,1776,0.024432648414720454,1656.0970000000002,156.9056202157358,7.734878505809437,116.09884236590095,
22,ASW_2020_09_17_23,-0.03984667,6633,-0.04863923,4228,-0.04819176,4132,-0.021805900000000003,2473,-0.01744755,2281,0.001590594,897,0.5125561,5059,5059,0.5581572354636174,3238.911,23,5059.0,0.5125561,3238.911,2988,0.015824378921036768,2240.432,1776,0.024010478381502887,1656.0970000000002,156.99105302821522,7.448136870853603,116.16205648541641,
23,ASW_2020_09_17_24,-0.03940392,6638,-0.04686391,4184,-0.04680995,4136,-0.02081196,2473,-0.01615774,2281,0.001520924,1012,0.542792,5046,5046,0.5870354897147515,3232.644,24,5046.0,0.542792,3232.644,3007,0.01561847186410103,2249.592,1697,0.022184392453900702,1618.009,156.34874395213924,6.354408311708935,115.68679409474451,
24,ASW_2020_09_17_25,-0.03478817,6638,-0.03872275,4175,-0.03861348,4146,-0.01523108,2473,-0.01119702,2281,0.002109163,1012,0.4480415,5041,5041,0.4853808369752334,3230.233,25,5041.0,0.4480415,3230.233,3026,0.013833238460251052,2258.752,1699,0.019465600704491732,1618.973,128.4670955869069,5.8245869545590585,95.05638522853636,
25,ASW_2020_09_17_26,-0.01324516,6638,-0.01236361,4213,-0.01211958,4144,-0.001046776,2473,0.0008629538,2281,0.004898433,964,0.1917014,5037,5037,0.2043645552371134,3228.304,26,5037.0,0.1917014,3228.304,3026,0.007350491852184319,2258.752,1697,0.01115702541579347,1618.009,55.11575536384824,3.6281017736266317,40.78168382411618,
26,ASW_2020_09_17_27,0.005091249,6638,0.005378767,4562,0.005725923000000001,4132,0.006629146,2425,0.006986297,2281,0.006438431,1031,0.01831393,5030,5030,0.012999979196531793,3224.929,27,5030.0,0.01831393,3224.929,2353,0.0019527267205623892,1934.283,1697,0.003723545995200001,1618.009,3.5764836112595484,1.1924194624585864,2.6463399235600424,
27,ASW_2020_09_17_28,0.005974646,6633,0.005630295,4562,0.006364435999999999,4132,0.006884491,2329,0.007150352,2281,0.006184533000000001,1010,0.01427259,5064,5064,0.008558826046837277,3241.322,28,5064.0,0.01427259,3241.322,2305,0.002652230470881865,1911.141,578,0.004861739075531077,1078.512,2.7062399088642883,1.7085005482934497,2.0024223488715838,
0,ASW_2020_09_21_1,-0.02418981,6635,-0.02136309,4408,-0.01937241,4147,-0.0046747640000000005,2482,-0.0034547490000000004,2279,0.005776789,677,0.2390831,5139,5139,0.26137404465648856,3277.481,1,5139.0,0.2390831,3277.481,2947,0.007965267281981983,2220.665,1785,0.019938449991260924,1660.436,88.6803613105896,5.3027051771521805,100.0,
1,ASW_2020_09_21_2,-0.02338997,6635,-0.02044626,4408,-0.0184725,4147,-0.003923449,2482,-0.00271737,2279,0.006425963000000001,573,0.2404644,5131,5131,0.2618663413336327,3273.6240000000007,2,5131.0,0.2404644,3273.6240000000007,2947,0.007976419977477476,2220.665,1785,0.020090059471277844,1660.436,88.67865950294961,5.579042668272712,99.99808096447184,
2,ASW_2020_09_21_3,-0.022977599999999997,6638,-0.0194931,4413,-0.01755098,4145,-0.003091119,2489,-0.001809011,2276,0.007136701,578,0.2548887,5129,5129,0.27550310426966296,3272.66,3,5129.0,0.2548887,3272.66,2964,0.008281559057367148,2228.861,1771,0.019792308279151943,1653.686,90.61901353235878,5.52377887624889,102.18611222723769,
3,ASW_2020_09_21_4,-0.02296103,6638,-0.01939446,4404,-0.01742925,4145,-0.002985103,2489,-0.001639673,2276,0.007219997,578,0.2592185,5121,5121,0.2797576469695613,3268.803,4,5121.0,0.2592185,3268.803,2964,0.008400016720410628,2228.861,1771,0.01978246991990577,1653.686,91.27314996437462,5.55372051435874,102.92374615469141,
4,ASW_2020_09_21_5,-0.02282638,6638,-0.01927449,4404,-0.01725008,4145,-0.002767896,2489,-0.001448762,2276,0.007357513,578,0.26094090000000003,5119,5119,0.28135218559086844,3267.8390000000004,5,5119.0,0.26094090000000003,3267.8390000000004,2964,0.008480511091787438,2228.861,1771,0.019890139058303884,1653.686,91.53414369042784,5.623779301482328,103.21805452488329,
